SVSPP,COMNAME,SCINAME,FISH,PD,TL
455,SOUTHERN HAKE,UROPHYCIS FLORIDANA,Y,NA,NA
458,BLOTCHED CUSK-EEL,OPHIDION GRAYI,Y,NA,NA
459,BANK CUSK-EEL,OPHIDION HOLBROOKI,Y,NA,NA
460,CRESTED CUSK-EEL,OPHIDION WELSHI,Y,NA,NA
461,CUSK-EEL UNCL,OPHIDIIDAE,Y,NA,NA
462,PEARLFISH,CARAPUS BERMUDENSIS,Y,NA,NA
465,ATLANTIC FLYINGFISH,CYPSELURUS MELANURUS,Y,NA,NA
466,FLYING HALFBEAK,EULEPTORHAMPHUS VELOX,Y,NA,NA
471,ATLANTIC NEEDLEFISH,STRONGYLURA MARINA,Y,NA,NA
483,BIGEYE SOLDIERFISH,OSTICHTHYS TRACHYPOMA,Y,NA,NA
484,CARDINAL SOLDIERFISH,PLECTRYPOPS RETROSPINIS,Y,NA,NA
486,SHORTSPINE BOARFISH,ANTIGONIA COMBATIA,Y,NA,NA
489,RED CORNETFISH,FISTULARIA PETIMBA,Y,NA,NA
490,CORNETFISH UNCL,FISTULARIA ,Y,NA,NA
492,LINED SEAHORSE,HIPPOCAMPUS ERECTUS,Y,NA,NA
493,LONGSNOUT SEAHORSE,HIPPOCAMPUS REIDI,Y,NA,NA
495,CHAIN PIPEFISH,SYNGNATHUS LOUISIANAE,Y,NA,NA
496,BULL PIPEFISH,SYNGNATHUS SPRINGERI,Y,NA,NA
500,YELLOWFIN BASS,ANTHIAS NICHOLSI,Y,NA,NA
501,SQUID CUTTLEFISH AND OCTOPOD UNCL,CEPHALOPODA,N,NA,NA
502,NORTHERN SHORTFIN SQUID,ILLEX ILLECEBROSUS,N,P,NA
503,LONGFIN SQUID,LOLIGO PEALEII,N,P,NA
504,ATLANTIC BRIEF SQUID,LOLLIGUNCULA BREVIS,N,NA,NA
505,ARROW SQUID,LOLIGO PLEI,N,NA,NA
506,BOBTAIL UNCL,SEPIOLIDAE,N,NA,NA
507,LESSER SHINING BOBTAIL,SEMIROSSIA TENERA,N,NA,NA
508,SHIELD BOBTAIL,STOLOTEUTHIS LEUCOPTERA,N,NA,NA
509,RUPPELL'S ABRALIA,ABRALIA VERANYI,N,NA,NA
510,OCTOPUS UNCL,OCTOPODA,N,NA,NA
511,COMMON OCTOPUS,OCTOPUS VULGARIS,N,NA,NA
512,SPOONARM OCTOPUS,BATHYPOLYPUS ARCTICUS,N,NA,NA
514,VERRILL'S BOBTAIL,ROSSIA MEGAPTERA,N,NA,NA
